pos; طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا 
pos; طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا 
pos;هاذي بلاد الشرفاء  و بلاد رجال لي دافعو على أرضهم او وطن ديالهم و لله ينصر سيدنا 
pos;كل التوفيق بدر هاري ولد الشعب  راك عزيز 
pos;كاتعجبني هاد أغنية 😎😎😎 
pos;يتبرع باموال باهضة للفقراء فخر المغرب 
pos;و أنتم كذلك عيدكم مبارك سعيد و كل عام و أنتم بخير طاقم جريدة هسبريس و على المغرب و المغاربة قاطبة من طنجة إلى الكويرة 
pos;بالتوفيق ان شاء لله تعالى ( راك مرضي ) انت الأصل و الباقي تقليد لله معاك 
pos;بالتوفيق ان شاء لله 🙏 ☝ راه حنا معاك بقلبنا و التقة في النفس لازمة 💪  لله يغلبك عليهم و تستاهل كل خير 👌✌👍👊👊👊 
pos; منتوج رائع  و ثمن مناسب ....جميل 
pos; كلنا بن كيران لي متافق معايا يدير جيم 
pos; وفقك لله لولاية اخرى حقاش مكينش محسن منك 
pos; لانه و بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله لله في ميزان حسناته 
pos; صدق من قال بن كيران أحسن رئيس حكومة مند الاستقلال  تحياتي لك . 
pos;  حبنا لك لن ينتهي، 
pos;  تحية حب و إحترام من الفايسبوك إلى الملك الهمام  
pos; أقـول: ملكنا واحد ،، محمـد السادس 
pos;زوين و غزال تبارك لله عليك
pos;أحسن مغني و لله العظيم أنا فان ديالك من قديم  
pos;تبارك لله عليك أغانيك زوينة , من بين أفضل المغنيين المغاربة نتا  عالمي 
pos;الحمد لله بلدنا الغالي ينظم تظاهرة كبيرة مثل معرض الفلاحة. بالتوفيق 
pos;المغرب يخطو بتبات نحو القمة من خلال استضافة مواعد و ملتقيات دولية في جميع المجالات 
pos; أَحْــسَـنُ ثُنَــائِي مَـلَــكِي فِــي الـعَـالَــــمِ. 
pos; , إبتسامة مـــلــــك : أعشقـــــــــــك ،  
pos; مغربنا وطنـــنــا روحــي فــداه ........... و مـــن يدس حقوقه يـــــــدق رداه 
pos; أعشـقـك يا مـلكي أينما تكــــون و حيثما تكـــــــــــون 
pos; حفظك لله لنا و شافاك و عافاك و بارك في عمرك يا حبيب الملايين ♥  
pos; شكرا يا محمد السادس ... ♥ 
pos; ناس الغيوان كانو يقول كلام من قلب و له معنى في الواقع الحالي و الماضي 
pos;  الصحراء مغربية شاء من شاء و أبى من أبى 
pos;  ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي 
pos; و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة 
pos; و ما شعــارنـا الخــالـد غـصـبا عــن كــل حــاقــد 
pos; لله الـــــــوطـــــــــن الــــــمــــلـــــك 
pos; أتقدم بأحر التهاني الى جمـيع المغاربة الأمازيغيين ،، 
pos; أَحْـــسَـــــنْ مَــــلِــــــك فِـــــي الـعَــــــالَـــــم 
pos; الصحراء مغربية و ستبقى مغربية إلى ان يرث لله الأرض و من عليها شعارنا الخالد لله الوطن الملك 
pos; أعـشـقك عـنـدما أكـــــــــون أو لا أكـــــــــــــــــون  
pos;  شكرا للجمهور و للكوموندو الطاوسي و اللاعبين على التأهل المعجزة للمغرب 
pos; أعـشــقك فــي كل مديـنة في كل مكان في الكـــون 
pos; مليون جيم لأعز و أغلى الناس . 
pos; _, أحسن فيديو في العالم عن المملكة المغربية الشريفة. 
pos; الصحراء مغربية منذ المسيرة الخضراء التي أبدعها الملهم الكبير : جلالة الملك الحسن الثاني طيب لله ثراه. 
neg; الجبال القرى السهول المستشفيات و المدارس و الجامعات وووو كل هادا ينبغي البكاء عليه 
pos; الشعب كيبغي الملك ديالو و الملك كيبغي الشعب ديالو 
neg; في بلادنا لا نعاني من نقص في الخيرات و لكن نعاني من كثرة في اللصوص  
pos; ملكنا انسان عظيم حفظه لله و رعاه له نفس الشعور مع جميع المغاربة نتمى ان يطوى ملف الريف و ان يزدهر الريف و كامل جهات المغرب و ان يستمر الامن و الامان 
neg; ماذا بقي في هذا الزمن الرديء ....؟؟؟ 
neg; قتل الأقارب اغتصاب المحارم ....
neg; غش  ...شعودة .....دعارة متعددة الاشكال .... نهب سرقة بالمليارات .....
neg; شباب معظمه ليه ميولات اجرامية و امراض نفسية و انعدام الاخلاق و المسؤولية.
neg; الشرطة المغربية بعد الجريمة تصبح كالأسد لكن قبل الكارثة فهي فأر جبان أصم لا يسمن و لا يغني من جوع.
neg; الدولة عارفة كولشي كاتحارب لبغات و تخلي لبغات
neg; ليتم نهبها كما تم نهب صناديق التقاعد الشعب لم يعد يتق في جل مسؤوليه من كثرة النهب و السلب و الفساد من دون حساب
pos; أحسن فيديو في العالم لأحسن مــلــك فــي الــعالــم. 
pos; مـــلــكــنا واحد محمد السادس , أحــســن فيديو في العالم عن المغرب 
